,Message,Favourite Count,Retweet Count,Created At,followers_count,screen_name
88,"RT @thomesinc: “Victory is not winning for a party it’s winning for a Country” @realDonaldTrump @POTUS 

 #SOTU2019 https://t.co/dzYsdhVabg",0,157,2019-02-07 03:42:11,9234,DeeHill77
89,"RT @_SJPeace_: Guess who weren't IMMIGRANTS?
 
The 
Las Vegas Shooter
Sandy Hook Shooter
Parkland Shooter
Charleston Church Shooter
Aurora…",0,5569,2019-02-07 03:42:08,42,gebman1
90,"RT @JeffMerkley: If there is going to be justice and integrity, there must be investigations and transparency. #SOTU2019",0,672,2019-02-07 03:42:05,257,BowWow4Now
91,"RT @ROHLL5: 🇺🇸Please Retweet if you agree .@POTUS is the Greatest President Of All Time!

#SOTU2019 https://t.co/SEF6iSjEG7",0,8683,2019-02-07 03:42:01,985,sua9677
92,RT @w_terrence: Why did you let Willie Brown tell you to do with yours when y’all were sleeping together behind his wife’s back? #SOTU #SOT…,0,4122,2019-02-07 03:41:59,74,promentheus1
93,"RT @mcspocky: #SOTU State of The Union #SOTU2019 

State of the Union fact check: What President Donald Trump is claiming https://t.co/p6q1…",0,266,2019-02-07 03:41:57,29,Jojo1212budgies
94,"RT @mel_faith1: Out-of-touch for those of you that are Anti-America. The ones who applaud only for themselves. 

And in case you missed it.…",0,362,2019-02-07 03:41:56,24042,VetApologist
95,"RT @_SJPeace_: Guess who weren't IMMIGRANTS?
 
The 
Las Vegas Shooter
Sandy Hook Shooter
Parkland Shooter
Charleston Church Shooter
Aurora…",0,5569,2019-02-07 03:41:55,43,Ang_Martinez_01
96,RT @FMNewsTalk971: .@RodneyDavis said there were political games happening in the chamber last night during the #SOTU2019: https://t.co/s2b…,0,2,2019-02-07 03:41:53,3472,anniefreyshow
97,RT @11ForTexas: #SOTU2019 by @POTUS @realDonaldTrump was the MOST POWERFUL message of Americans greatness! My heart rejoiced when Trump had…,0,155,2019-02-07 03:41:50,1066,emeddleton
98,"RT @IngrahamAngle: No Republican has done better since Reagan bringing to light the gallantry and humility of American heroes, with a focus…",0,6528,2019-02-07 03:41:49,2899,RRS67
99,@seanhannity The condescending clap by Pelosi stole the show. I never thought someone could get a beat down like th… https://t.co/LekY8tXBLo,0,0,2019-02-07 03:41:48,464,jjjnjr
