,ids,retweet,favorite,inreplyto,friends,screen_name,followers,listed,text,location
2626,2801416642,199,0,,548,MumbullsMa,1131,32,"RT @thebradfordfile: PRESIDENT TRUMP LOVES AMERICA--the most extraordinary nation in history.

God Bless America.

God Bless our President.…",
2627,823462031944798208,22,0,,4745,1WestTexasgal,4718,0,RT @MariaGrasmick: 👌 President Donald Trump 👌  State of the Union Political cartoon SOTU  #sotu #SOTU2019 #SOTUResponse #sotu19 #politicalc…,"West Texas, USA"
2628,923984024242028545,183,0,,4654,sedonasurf,4409,3,"RT @Tombx7M: How come Bernie summer home isn’t  in Venezuela
#FoxAndfriends #MorningJoe
#SOTU⁠ ⁠ #Tucker #Tcot #Ccot #Trump #KAG #MAGA
#WWG…",
2629,4855587569,2383,0,,937,MoniqueCook20,2024,233,"RT @ColumbiaBugle: The Best moment of the Night:

President Trump slamming the Democrats for their support of outright murder of a baby.…","Virginia, USA"
2630,823071750716014592,0,0,hamp2879,452,AwakeSelf2017,411,1,@hamp2879 S(he's) thinking: These damn female hormones aren't working like they use to - I'm looking more like a ma… https://t.co/8e6ppAOZzV,United States 🇺🇸
2631,828797444418859009,592,0,,35,realLarryDay,91,0,RT @GOP: Tuesday’s #SOTU made it clear: Democrats won’t stand for anything but themselves. https://t.co/ZKMUCs1fJY,"Estero, FL"
2632,262435016,10523,0,,194,MLS3344,72,1,RT @EricTrump: It was so refreshing to hear my father talk about 2 years of incredible achievements. Other politicians only talk about what…,
2633,786608235092422656,6130,0,,966,joshuatobias37,526,1,"RT @KTHopkins: Did Nevada Senator Jacky Rosen threaten Krysten Sinemma, because she stood up and applauded Trump at #SOTU 

“Watch your ass…","Houston, TX"
2634,1008248767756341248,5905,0,,421,BillLowry20,310,0,"RT @DanCrenshawTX: Here’s a good thing for all Americans to remember about last night’s #SOTU:

At one point, BOTH parties were chanting “U…","I'm everywhere, thank🇶"
2635,1003819995758055424,6480,0,,205,lacey57246999,104,0,"RT @TeaPainUSA: 1. Another sealed indictment today  
2. Cohen testimony suddenly postponed
3. Butina boyfriend indicted
4. 7000 pages of tr…","Greensboro, NC"
2636,3411567393,5299,0,,462,edward_bathy,0,0,"RT @TimRunsHisMouth: Whoa! Jacky Rosen angrily warns Kyrsten Sinema ""Watch your ass"" when she was the only Democrat applauding Trump. 

She…",
2637,576670392,14681,0,,117,SueMetzger1,3,0,"RT @TeamPelosi: Since he brought up the economy, remember this: 

🚫 He and Republicans forced a $1.3 trillion #GOPTaxScam that rewarded She…",
2638,3592477283,6480,0,,4976,jojos444,3199,195,"RT @TeaPainUSA: 1. Another sealed indictment today  
2. Cohen testimony suddenly postponed
3. Butina boyfriend indicted
4. 7000 pages of tr…",here...suspended in time..😒
2639,895029641014063105,17,0,,534,barbkval,293,0,"RT @hardball: ""They (intel chiefs) said that North Korea is going to continue to hold on to their nuclear weapons. The President thinks som…","Myrtle Beach, SC"
2640,740914812377571328,640,0,,207,kingkamp21,134,3,RT @Phil_Lewis_: Reminder that Buzz Aldrin once punched a moon landing denier in the face. #SOTU https://t.co/OlRSwTVpjy,
2641,897634614411280385,67,0,,147,bobbie_and_leo,150,0,RT @KirstenAllison: @shannonrwatts @AdamParkhomenko Think back to two months when people were screaming that Pelosi wouldn’t be effective a…,"Arden-Arcade, CA"
