screen_name,retweeted_user,content_type
kevlynhall,,Tweet
Shirehorse1,GabbyGiffords,RT
blutarsky_bluto,TeaPainUSA,RT
RobertDaPatriot,Doodisgirl,RT
garyscott_,LPNational,RT
WendyMc2020,hirschA8720,RT
FlanagansPlace,RealDrGina,RT
CamlynG,DanAdamsShow,RT
p1webb,steph93065,RT
statedepttweet,USAenEspanol,RT
PaulJNoonan,DanCrenshawTX,RT
sandra_greer,Jim_Jordan,RT
coach_masse,realTylerZed,RT
jazcash2,KamalaHarris,RT
bethree,DanCovfefe1,RT
RuckerWil,EpochTimes,RT
beinghassamk,heyadiana,RT
Lepracon56,RealCandaceO,RT
highspeed81,SavingAmerica4U,RT
jimmyjamesroz,RealCandaceO,RT
ofdcwb,heyitsCarolyn,RT
judymorris3,,Tweet
ChristalSweets,realDonaldTrump,RT
EloKiddies,GOP,RT
CAndricsak,RealCandaceO,RT
WaldenE,NYforSanders,RT
Jan99464119,SwampysGhost,RT
p1webb,kristina_wong,RT
sudischuricht,FrankLuntz,RT
jcpowell1285,RealDrGina,RT
Real_Infinity95,NBCNews,RT
StorinoCarmella,realDonaldTrump,RT
ckensingtn,MagaAngeles,RT
turltlehead,RealCandaceO,RT
gaumond_dave,heyitsCarolyn,RT
RamonaDear,BlazeTV,RT
kkjhaw,andreakayeshow,RT
thorntreehill,Ilhan,RT
kramerlibertas,,Tweet
sofinique1,Tombx7M,RT
1SassyLadyDi,GOP,RT
pusser_rh,,Tweet
LajosZweig1,MichaelT_45,RT
TheOfficalAmmer,,Tweet
TryAgain1955,RealCandaceO,RT
CorpMole,RealCandaceO,RT
beaglebabe48,letters4trump45,RT
CharlesKirby12,Franklin_Graham,RT
kjmitchellky,GOP,RT
RTBayArea,,Tweet
BigCountryBob,RealDrGina,RT
Hunter_Shields,RealCandaceO,RT
janjan2892,TeaPainUSA,RT
PatriotGirlAz,RealCandaceO,RT
FaramarziAzad,PelosiPress,RT
ChicanosUEdCtte,julissaarce,RT
SuenoStudio,RepEscobar,RT
Hope4GreyMatter,,Tweet
CorinneSnyder11,John_KissMyBot,RT
Hootacious,RedPillReport,RT
glendabelle_11,kimguilfoyle,RT
MGonzalezA63,RealCandaceO,RT
renlopez7,pattonoswalt,RT
cannolifactory,HeatherSBrooks1,RT
MikeOnKVI,,Tweet
MAGAKellyReno,MAGAKellyReno,RT
LindaNykolyn,cameron_kasky,RT
p1webb,CamEdwards,RT
United2MAGA,CarloThePirate,RT
KarenKerrigan,GreggStebbenForbes_Books,RT
som_bill,RealCandaceO,RT
Belgian_Blue,obianuju,RT
frog_spider,realTylerZed,RT
mikeypubbah,adamclanton,RT
NewsForThinkers,,Tweet
Sheri24036754,SenTedCruz,RT
TriathleteUSA,RealJamesWoods,RT
isisx0,nowthisnews,RT
grifo510,FLOTUS,RT
Batchevana,KamalaHarris,RT
infowarsholland,LeoDube,RT
CloverCharlie,DanCrenshawTX,RT
chrisw2018,EricTrump,RT
THEBeachBrat,TrinityResists,RT
karaguglielmo,spicykezzinnugg,RT
tfrffclrvbq2059,judyschear,RT
KimiNewberry2,RealCandaceO,RT
MJredemption,DanCrenshawTX,RT
LoveHasOnly1,RealMattWalter,RT
RoyWils28241710,RealCandaceO,RT
eslatten,EricTrump,RT
Lizsugar3,tictoc,RT
Niorvis1,WhiteHouse,RT
cjunesuss,Franklin_Graham,RT
McChesneyA1,RNRKentucky,RT
TonyPaul45,RealCandaceO,RT
Niorvis1,VP,RT
MAGAKellyReno,MAGAKellyReno,RT
Niorvis1,SecretaryPerry,RT
ricknagasawa,KTHopkins,RT
CookeCasen,OurRevolution,RT
Tee168,NewRightNetwork,RT
flybuttery3,KimStrassel,RT
MenefeeCurtis,Jetsta812,RT
tumbencuxtal,IlhanMN,RT
Trump_Muslim,newtgingrich,RT
MMLW61,RealCandaceO,RT
rgcanada2,RealCandaceO,RT
BarbaraAnnFlee2,Kindhearted2015,RT
DonnaWR8,10thAmendment,RT
JenNash70,amyklobuchar,RT
Cliffie88,votevets,RT
CMargaronis,sfpelosi,RT
Claudia4Trump,realTylerZed,RT
6863392l,IlhanMN,RT
STERBENVSIVANVS,JAMA_current,RT
UmpierreCarlos,hirschA8720,RT
smldesv,,Tweet
HannaUwakwe,RealCandaceO,RT
Justice_Tribe,heyitsCarolyn,RT
trumpATeam,,Tweet
Sal_The_Rattler,FLOTUS,RT
Shaun51629215,adamclanton,RT
connectedtomyc1,heyitsCarolyn,RT
JeffFis53867292,Tombx7M,RT
KAG4All,Doodisgirl,RT
FeministForward,,Tweet
MenopauseMaddy,heyitsCarolyn,RT
teige_mccombs,BenMank77,RT
flowersoffate,cain_nate,RT
RJNelson13,Jim_Jordan,RT
MAGAKellyReno,MAGAKellyReno,RT
KrusinKeegan,,Tweet
124mjdri,JaySekulow,RT
sznlnx,TheMorningSpew,RT
FirmlyRootedSem,RealCandaceO,RT
Phil_Johnson_,tulipgrrl,RT
AGENT_GATTACA,TimRunsHisMouth,RT
LoriMc840,realTylerZed,RT
lakehermit2,matreenanoland,RT
LigotRamon,RealCandaceO,RT
CTSKIDOO,MichaelT_45,RT
krissy1861,george_capen,RT
MarkGooch4,TimRunsHisMouth,RT
NDGOP,,Tweet
haloclinedaze,PPFA,RT
_bv11,RPedro_IV,RT
TonyPaul45,carrieksada1,RT
Freier17,RealCandaceO,RT
DonaldBartolet2,RealCandaceO,RT
1776Swoger,ParaisoPerduto,RT
Katheri24541006,JustinOnwenu,RT
fransau93072200,NYforSanders,RT
elzieim29,UrUnpaidPundit,RT
mikewright1997,Jim_Jordan,RT
Birder511,Franklin_Graham,RT
RahulNair77,RealCandaceO,RT
GinaMarie1952,RepAnnieKuster,RT
BertieGilb,Jim_Jordan,RT
sofiegeorge,GOP,RT
jfdaws,mel_faith1,RT
StanleyB919,,Tweet
ALightThroughT1,Jim_Jordan,RT
grifo510,RealJamesWoods,RT
DeplorableTJ,IvankaTrump,RT
hoopmom34,Franklin_Graham,RT
RuckerWil,Jim_Jordan,RT
rnelson189,RealCandaceO,RT
david_mcwalter,TheSharpEdge1,RT
monitor_PH,JAMA_current,RT
Charlamaigne,1Romans58,RT
