,imageid,mid,desc,score
126,1888505922360208565,/m/023bbt,Wilderness,0.9127740263938904
127,1888505922360208565,/m/0swq_,Nature reserve,0.896547794342041
128,1888585755989497878,/m/06fvc,Red,0.9602789282798767
129,1888585755989497878,/m/01d40f,Dress,0.7849066853523254
130,1888585755989497878,/m/03gq5hm,Font,0.6857237815856934
131,1888585755989497878,/m/036jvk,Stock photography,0.6205405592918396
132,1888585755989497878,/m/0463sg,Fashion accessory,0.5994094014167786
133,1888585755989497878,/m/02qqd4n,Fashion design,0.5591307878494263
134,1888585755989497878,/m/04s5jq,Costume design,0.5492227673530579
135,1888585755989497878,/m/02w3_2,Formal wear,0.5228210091590881
136,1888585757516307856,/m/04hgtk,Head,0.8762359619140625
137,1888585757516307856,/m/05wkw,Photography,0.6242249608039856
138,1888585757516307856,/m/0dzd8,Neck,0.599070131778717
139,1888585757516307856,/m/039xj_,Ear,0.5822066068649292
140,1888585757516307856,/m/0463sg,Fashion accessory,0.5458008050918579
141,1888585757516307856,/m/0jjw,Art,0.502187192440033
142,1888958815630742925,/m/02dl1y,Hat,0.9205306172370911
143,1888958815630742925,/m/01443y,Headgear,0.7821933031082153
144,1888958815630742925,/m/0463sg,Fashion accessory,0.6996912956237793
145,1888958815630742925,/m/025rp__,Cowboy hat,0.6628023982048035
146,1888958815630742925,/m/02fq_6,Fedora,0.6150409579277039
147,1888958815630742925,/m/019nj4,Smile,0.5404295921325684
148,1889034010626180210,/m/07yr8h,Historic site,0.9160116910934448
149,1889034010626180210,/m/065zs54,Holy places,0.9002916812896729
150,1889034010626180210,/m/0djmp,Ancient history,0.8706349730491638
151,1889034010626180210,/m/01w5c_,Aerial photography,0.8177067041397095
152,1889034010626180210,/m/0cgh4,Building,0.7653245329856873
153,1889034010626180210,/m/03g3w,History,0.7332905530929565
154,1889034010626180210,/m/012ww9,Archaeological site,0.7247052192687988
155,1889034010626180210,/m/0c7g7,Unesco world heritage site,0.6970133781433105
156,1889034010626180210,/m/03nfmq,Architecture,0.6545118689537048
157,1889034010626180210,/m/01czv3,Fortification,0.6514723896980286
158,1889331592965215146,/m/01txr2,Spring,0.7695760726928711
159,1889331592965215146,/m/0c9ph5,Flower,0.7335415482521057
160,1889331592965215146,/m/05s2s,Plant,0.7271697521209717
161,1889331592965215146,/m/05nnm,Organism,0.7151590585708618
162,1889331592965215146,/m/0j7ty,Blossom,0.69066321849823
163,1889331592965215146,/m/05wkw,Photography,0.6778864860534668
